enjoyed_most,enjoyed_least,quiz_number,quiz_questions,a1,a2,proposal
"Final project , l always wanted to analyze data I want",Assignment is kind of difficult to me. I never learned how to google some concepts,The number we've had is about right.,I wish they were more straight from the notes/videos.,5,12,3
"I liked learning about Python and Jupyter Notebook. These are technologies I had no knowledge of prior to this course, and it is very interesting to learn the basics of these technologies.","Honestly, I am not a huge fan of remote learning, I would say thats the biggest problem right now. I feel like it takes away from the actual COGS 108 experience.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,7
The group project since I could work with my team.,I'm not familiar with python and panda.,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,3,5
I really like the lectures were separated into smaller sections. It really helped with my attention span,hmmm I feel like I am a little bit lost on how to conduct the final project along the course cause we are constantly learning new techniques,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,3,5
I've been really enjoying the assignments. They really have helped me learn the material. ,Nothing really so far. It's been nice.,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,3,2
The lectures are not boring like other classes.,On the homework’s I have to consistently struggle on questions and look up functions and syntax on google because I did not learn them from lecture,There should be a way less.,I wish they were more straight from the notes/videos.,7,5,2
everything being released in advance so we can complete lectures/quizzes on our own schedule,super random but I don't like how the lecture videos don't open a new tab when I click on them from github. but obviously this is a very minor thing,The number we've had is about right.,I think they've been fine generally and would keep them as is.,0.5,1,2
"I really like how it lets us go at our own pace. I'm very comfortable with Python and most of the concepts and I really took this class as a fun elective because I had heard good things about the project and it sounded fun. I don't feel like I'm having to spend lots of time on concepts I know already, and that is nice, but the little refreshers are always helpful.","I don't really have any major beef with this class so far, so I can't really complain.",The number we've had is about right.,I wish they required more depth in thinking/critical skills.,2,2,2
Self-paced for lecturequizzes for the week,N/A,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,2,5
"My favorite thing was the guest lecture with Vivian Peng because her perspective and journey seemed unique and inspiring. It was really encouraging, especially because it wasn't super straightforward like everyone makes it out to be.",I honestly think all parts of COGS 108 has been great so far!,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,2,3
,,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,3,2
The lectures are not boring like other classes.,On the homework’s I have to consistently struggle on questions and look up functions and syntax on google because I did not learn them from lecture,There should be a way less.,I wish they were more straight from the notes/videos.,7,5,2
"The lectures/quizzes. Although some quiz questions might be worded weirdly, they still are pretty straight forward and check my knowledge on the material. ",Some of the assignment multiple choice questions. They can be tricky at times.  ,The number we've had is about right.,They are generally fine but as stated on canvas some can be tricky to answer as not everyone might interpret it the same. ,1,1,1.5
I like the lecture content,i feel like there are too many quizzes and that it is stressful to keep up with constantly ,The number we've had is about right.,I think they've been fine generally and would keep them as is.,0.5,1,4
I am enjoying the assignments a lot. I feel like it's where I am learning the most and being most creative (within boundaries) to solve the problems. There's also that immense euphoric feeling when your code works on the first try.,"This was the very first time I ever had to use github (not a Cogs major so definitely new to this) and I felt that there were very little guidance I was given to validate that component of the assignment (it wasn't a lot of work, but it was worth a lot and I had no way of knowing if I did it correctly). I lost a point for a silly reason - but I spent around 15-30 min on that portion as opposed to the 3 hours on the actual assignment of the material that was taught on class. To lose 13% of the entire assignment (or 1% of my entire grade) for that mistake was pretty hurtful.",The number we've had is about right.,I wish they were more straight from the notes/videos.,3,3,5
The opportunity that we got to work on our own projects. ,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1.5,3,2.5
I've actually really enjoyed learning more about Data Science! I'm having fun doing the assignments and watching the lectures.,Nothing to be honest.,The number we've had is about right.,I wish they were more straight from the notes/videos.,1.5,1.5,2
"Time flexibility, I also lots of data analysis techniques ",No,There should be a way less.,I wish they were more straight from the notes/videos.,3,4,3
Informative and comprehensive tutorials,Quiz on guest talk,The number we've had is about right.,Some questions should be rephrased with fewer confusions,1,1,3
Doing the jupyter notebook assignments because I like learning new programming languages,Writing out my project proposal because writing is my weak point,The number we've had is about right.,I think they've been fine generally and would keep them as is.,0.5,0.5,2.5
The assignments. They are much more straightforward than DSC80 and better designed.,No complaints.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,4,4,6
The Reading Quizzes - fun to test my knowledge,The Final Project - a lot of freedom and flexibility ,The number we've had is about right.,I wish they were more straight from the notes/videos.,6,6,8
"I liked getting a good introduction to data science. I like how the pace of the class isn't too fast in the beginning. Since I'm not a data science major, it was really helpful to start from the basics. It's also really interesting hearing from people who work in the industry. We have also covered a lot of topics so I am getting good exposure.",I think during lecture we don't really go in depth into different concepts and they can only really be reinforced or learned by doing the assignments.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1.5,2,8
The group project,nothing,The number we've had is about right.,I think they've been fine generally and would keep them as is.,12,16,4
The long hours I spend on coding because I love coding.,"I don't really like doing lecture quizzes, but I do them early so they're not too bad.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,4,10,1
"I have enjoyed the video lectures, discussion sections, and the useful help given by the course staff on Piazza. I also believe that the content of this course is very interesting and practical (shall you become a data scientist in the future for a company or organization).",So far so good!,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,5,9
Pre-made lectures and quizzes; allows for very flexible planning capabilities,A3 was not released on Monday as it was promised; it was released on Tuesday instead. And no one responded during these times that A1 was being graded; might be nice to have one dedicated answerer during these times tbh,The number we've had is about right.,I wish they were more straight from the notes/videos.,3,4,2
What I've enjoyed the most so far is being able to do things at my own pace and at my own time rather than having to show up to lectures every MWF.,What I've liked least is that some of the main course documents are only on GitHub while I think some of the important ones should be on Canvas as well just for easier access. ,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,2,3
Individual project,,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,3,2.5
Learning Python,The individual proposal felt sort of confusing to do since our data set is predetermined.,There should be a couple less.,I think they've been fine generally and would keep them as is.,2,4,6
I enjoy the assignments we do to get a practical taste of what data science is.,The quiz answers can be tricky sometimes. ,The number we've had is about right.,I wish they were more straight from the notes/videos.,1,2,3
I like how the assignment guide you through concepts.,"Sometimes it's difficult to get help because there are so many students in office hours, but I understand that it's such a big class and all the TAs are very helpful. ",The number we've had is about right.,"I feel like some of them are worded in a way where 2 of the answers could be correct, but this rarely happens and most are clear.",4,7,2
I have enjoyed the assignments the most because it allows me to take as much time as I need in order to answer it and allows us to apply our knowledge in a hands-own manner.,"I have enjoyed the project proposal the least because it had asked us to prepare a possible question before we learned the different models and data science experiments (e.g. exploratory, inferential, etc.)",The number we've had is about right.,I think they've been fine generally and would keep them as is.,0.5,0.5,2
,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,2,3
Having lectures released early so I can do them at my own convenience ,Slow feedback time on assignment grades (especially if an autograder grades it),There should be a couple less.,I wish they were more straight from the notes/videos.,2,3,4
"I honestly love how you arranged this class, I feel like I am fully learning the materials because of how well you explain. I would have never guessed I would come this far in python/pandas. ","Group work - It takes up too much energy to work with 4 other UCSD students over the zoom call. Also,  I feel like everyone's expectation in this class is different.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,5,3,7
The programming assignments have been fairly low stress and enjoyable so far. ,"It can be difficult to pay attention to some of the longer lecture videos (that go through the notebooks, for example) without taking a lot of breaks.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,4
Learning Python,Spending time debugging my coding errors,The number we've had is about right.,I wish they were more straight from the notes/videos.,10,15,3
,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,3,6
"the smaller video lectures (not the longer ones) because they are short and concise and to the point, I don't ever feel lost or feel that I am missing out on something ","1. The longer video lectures mostly because they are on the Python notebook and it's a little harder to take notes about code going on. I usually just download the notebook as a pdf and take notes on it directly as appropriate.
2. I really don't like that I can't see the answers on the quizzes right away. I never go back to check them because I always forget (also because I do them the weekend it is released and answers come out a week later so I don't even remember the ones I got wrong by then). I wished it were unlimited trys because I think it would've given me more incentive to know the right answers as I am taking the quiz.",The number we've had is about right.,I wish they were more straight from the notes/videos.,2,2,6
I really enjoy the programming part of the course.,Nothing.,The number we've had is about right.,I wish they were more straight from the notes/videos.,4,10,1
learning pandas,the final project with less directions,The number we've had is about right.,I wish they were more straight from the notes/videos.,4,5,3
Detailed demonstration of course material.,,The number we've had is about right.,I wish they were more straight from the notes/videos.,3,5,8
I loved the guest lecture and hearing about someones experience of getting into data science. ,I wish there were some synchronous lectures.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,4,8
The idea of exploring data,The video quizzes. Some questions are really confusing and not representative.,There should be a couple less.,I wish they were more straight from the notes/videos.,2,3.5,3.5
The using of python to tidy up data ,The quiz is sometime hard.,The number we've had is about right.,I wish they were more straight from the notes/videos.,3,5,4
"assignments
it's comfortable to use jupitar notebook to code","quiz
I always got one question wrong",The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,10
graphing and learn about application of data science,"project, as communication through zoom is not effective",The number we've had is about right.,I wish they were more straight from the notes/videos.,2,2,3
The lecture videos,N/A,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,3
I enjoy the data science topics that we're learning as well as getting to pick a topic for our project that I'm interested in looking deeper into.,I think having live lectures (that are recorded to later go back to) rather than recorded videos would be beneficial to maintain that classroom interaction between students and the professor.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,2,2
Learning about the basic df operations which aren't covered in ML courses,"Question design of quiz/assignment. Some quiz questions have multiple viable answers, but some aren't considered correct because they aren't explicitly mentioned in the lecture. A1's git task might need extra guidance for students once waitlisted, and it might not want to deduct points solely based on naming errors. ",The number we've had is about right.,I wish they were more straight from the notes/videos.,5,5,5
Working and collaborating with my team members,The content quizzes,There should be a couple less.,I wish they required more depth in thinking/critical skills.,0.5,0.5,1
I really like the assignments. I feel like that's when i'm learning the most because I am being forced to complete tasks. ,I think the lectures are kind of long and they take me twice as long to do because I pause to take notes for them. ,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,3,4
I like doing the jupyter notebook assignments and how it helps you learn one step at a time.,I wish there was a more set/required time frame for final project progress to keep us on track.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,2,3
"I really enjoy how well the lectures correspond with the assignments. I never feel lost in doing them, because I can always look back on the lectures. I also really appreciate having piazza to look over as a second option.",The project proposal was confusing to me to do as an individual project. I wish the individual project could be done over the term as well. I am worried about doing the individual project during the last week of classes.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,4,4
"I love working on the coding assignments and learning how to read, understand, and organize data. ","Tis a great class, I don't think there is anything I particularly dislike.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,4,6,5
That it is pushing me out of my comfort zone because I do not understand it.,It makes me want to cry because of how I don't understand sometimes. ,The number we've had is about right.,I think they've been fine generally and would keep them as is.,10,14,3
The lectures are not too long and easy to digest,"I would prefer the due date for the Friday quizzes be on Saturday at least, because unlike the Monday and Wednesday quizzes, it feels much stricter.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,3
Bite sized videos ,Quizzes ,There should be a couple less.,I wish they were more straight from the notes/videos.,3,5,4
The PAs.,The daily quizzes are the worst.,There should be a way less.,I wish they were more straight from the notes/videos.,5,7,4
I enjoyed how organized it is.,"I like the quizzes the least. I often feel that I have gotten a good understanding of the lecture videos but still didn't do well in quizzes. Also, it happened to me once that I mistakenly started a quiz next to the one I wanted to click, and ended up getting almost 0 points since I haven't watched the corresponding video yet. I think it would be better if we could get 2 chances for a single quiz, and this could also help us to recapture the contents that we were not familiar enough too.",There should be a couple less.,I wish they were more straight from the notes/videos.,3,4,18
The anecdotes used in lectures,I wish the assignments were released earlier so that I could better allocate my time,There should be a couple less.,I think they've been fine generally and would keep them as is.,0.5,0.75,0.5
Like the professor.,I think the grading is a bit too harsh.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,1
,,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,4,4
The lectures are very insightful,The A# have been rather tedious so far,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,3,2
,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,5
Doing assignment is much more interesting than I thought.,,There should be a couple less.,I wish they were more straight from the notes/videos.,4,6,3
Splitting up the lecture videos into parts. Makes it easier to digest.,The assignments are a bit long.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,5,2
"I've enjoyed being able to learn the basics of pandas, since the jupyter notebooks are already set up it makes it a lot easier to get started and learn how to do things","I dislike the style of the lecture quizzes, mainly how there's only one attempt. It's adding additional stress to the course that I don't think is necessary, because it would be nice to be able to watch the videos without having to worry so much about performing well on the quizzes. ",The number we've had is about right.,I wish they were more straight from the notes/videos.,3,4,2
,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,4
I like the videos and the assignments,nothing really to hate,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,3,5
The Jupyter Notebook lecture videos because they thoroughly explain and go through the entire notebook and allows us to understand the code better for when we do the homework.,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,4,5,4
"The various Python packages and tools, including pandas, numpy, seaborn, etc.",,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,3,8
Asynchronous lectures: it is much more convenient and easier for me to learn when I can watch the lectures at a time when I am ready to learn,"Pressure on the quizzes; sometimes the time limit feels too short, especially for questions such as the ones asking what graph would be the best choice for a given situation",The number we've had is about right.,"I think some of the questions are too specific to the video. Especially for some of the questions earlier in the quarter, they went over a lot of concepts that I already knew from previous classes, but if I didn't remember specifics from the videos I could still do poorly on the quizzes",1,2,1
The hands on experience it has given me. The lecture notebooks are also a good way to learn,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,2,4
"The assignments are interesting and learning how to organize, arrange, and clean data(sets?) with python is relatively fun. ","The quizzes are a (very) tiny bit anxiety inducing. Although I put my focus on the videos, the quizzes make me question myself quite a bit, especially when there are select all questions where some answers cause me confusion. ",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,4,6
The statistical lecture because it taught me to better understand the realistic meaning behind the numbers/data. ,"More coding tutoring (supplemental materials) is needed because I don't have a strong background in python, so it took a longer time for me to try out and process things. ",The number we've had is about right.,Sometimes the wording makes the questions a bit difficult to understand. ,8,8,35
The topics covered in class is interesting. ,I guess the assignments since a lot of it we have to figure out on our own so a question can take a long while to solve. ,"Normally it is fine, it just sucks when there are only two questions and you get one wrong. ",I think they've been fine generally and would keep them as is.,5,6,7
The programming aspect of it.,Nothing.,There should be a few more.,I wish they required more depth in thinking/critical skills.,8,10,3
The clear and concise lectures,I like everything about this class,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,2,2
the assignments,taking content quizes ,The number we've had is about right.,I wish they were more straight from the notes/videos.,5,4,2
Everything is super clear and instructive. I learned about more specific details about topics that I've learned before. The arrangement of class content and time is good.,The week1 quizzes are tricky.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,2
Working on final project with my teammates,,The number we've had is about right.,I wish they required more depth in thinking/critical skills.,2,2,4
I like the lecture and quiz format. I find it easy to follow along and the quizzes are really straightforward. ,"The main project. I posed a question that I found interesting and did background research, but since turning it in, you have discussed predictive analysis and text analysis. I want to try these out in my project, but I don't know if I can change. I kinda wish there was a slack or piazza channel for the people doing the individual projects to discuss. ",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,5
Getting to learn about pandas and learning to code with it.,N/A,The number we've had is about right.,I think they've been fine generally and would keep them as is.,4,4,4
I have really enjoyed the assignments because it has allowed me to work with different python libraries.,The daily quizzes are probably what I like least about the class because some of the questions have been a bit ambiguous. ,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,6
"I'm a big fan of the structure of the course so far, it's the most ideal situation in the ongoing pandemic. Great Work Everyone.",Nothing worth noting,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,4,2.5
I enjoyed learning the graphing techniques since we don't usually learn them from other classes,Answering quizes,The number we've had is about right.,I wish they were more straight from the notes/videos.,1.5,3,4
I like that every course material is on GitHub,I wish have more explain on the code part of the lecture.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,4
"Learning new pandas functions, I knew python but I didn't know dataframes very well.",,There should be a couple less.,I think they've been fine generally and would keep them as is.,1,1,2
The lectures are super helpful and easy to follow,,The number we've had is about right.,They're pretty good but sometimes I think the select multiple are meant to trick us.,5,7,3
Learning how to do assignments by using google and lectures.,Group Project work,The number we've had is about right.,I wish they were more straight from the notes/videos.,1,4,1
classes are organized,"Don't have a lot practice, I think I will forget things fast.",The number we've had is about right.,I wish they were more straight from the notes/videos.,1,1,1
I have been enjoying the assignments and the project because I can practice what learned in lectures into real practices using programming. ,"Some questions in quizzes are not so straightforward, and having only one attempt and limited time can be stressful.",The number we've had is about right.,I wish they were more straight from the notes/videos.,0.5,1,3
Learning how to analyze data using Pandas,Feeling unconfident in my final project group,The number we've had is about right.,sometimes the wording is confusing/vague,7,7,4
"I really like the flexibility of the course and the relevance of the material. The lectures are very informative but not overwhelming, so I can easily understand the topics covered and why they are important to learn. ",,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,2
Practical homework assignments,Vague participation quiz questions,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,2
The interactive Python lessons are really helpful.,There is a lot of Python I need to learn.,There should be a couple less.,I think they've been fine generally and would keep them as is.,2,2,2
"Learning python, and how to apply this to real life situations!","sometimes the videos each week take me a while because I like to take notes, and the quiz questions are sometimes unfair since there could be multiple answers.",The number we've had is about right.,I wish they were more straight from the notes/videos.,8,5,3
I really like the concepts we learn and then applying them to the assignments,The individual project proposal was challenging for me since I knew nothing about the data set so it might have been nice to know that my question was at least a little bit more on track,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,5,6
"The project concept, we have an idea to simulate baseball games to create data to compare to answer our question and I think that it will be exciting to develop.","The quizzes for each lecture. The quizzes are very difficult and I have lost a lot of points because of how specific they are. I think that if they are truly trying to gauge our understanding of the lecture we should have two or three attempts on each quiz. After submission we should be able to see which we got correct and which were wrong, not the correct answers. Then we should have the opportunity to retake it. I understand that we can miss points on the quizzes and still earn an A in the course but it should not be this difficult to earn these points if you just want to make sure we watch the lectures and understand the material.",There should be a way less.,They are way too difficult and should be less specific,1,2,5
The lecture style in broken up into pieces. I love it so much.,"These EC surveys! This is the first one I've done, for some reason I didn't know about them until now. Prob missed a lot of free points!",give us the answers after and ask good questions that matter,I wish they were more straight from the notes/videos.,1,1,3
"The lectures do help with the assignments, and I like how they are clear and concise.",Not much; Professor Ellis has been doing a great job so far. ,The number we've had is about right.,I wish they were more straight from the notes/videos.,7,8,2
I enjoyed the PA the most because they have been teaching me the most about pandas and python,The final project because I dont know how it will turn out,The number we've had is about right.,I think they've been fine generally and would keep them as is.,6,10,10
I have really enjoyed learning about Data Science as a whole. Learning about how to use the different pacakges,"What I like least is probably the quizzes. I feel like there's a lot of quizzes, and while most of them are  not hard, there a few that I felt weren't really supposed to be taken right after watching the lecture but instead meant to be taken after I have had practice with the concept",There should be a couple less.,I wish they were more straight from the notes/videos.,2,2,3
doing the jupyter notebooks to get hands on experience and also the advice about securing jobs,some lecture quiz questions are too difficult,The number we've had is about right.,I wish they were more straight from the notes/videos.,3,4,3
"having the mix of videos, quizzes, assignments, and EC",more structure for the group project/more support from TA/IA's,There should be a couple less.,I wish they were more straight from the notes/videos.,4,2,6
I've mostly enjoyed how this course has given me a new perspective on data and a greater appreciation for it. Each video and assignment has shown me how I can interact with data in order to answer an interesting data science question. I also really enjoy how we're going over inferential statistics this week because I love statistics. ,"I guess I find the Jupyter notebook videos very dense and technical, but they're supposed to be that way and are helpful in completing assignments as a result. ",The number we've had is about right.,I think they've been fine generally and would keep them as is.,6,8,10
I've enjoyed learning about how you can gather information and sort through it to find different information like going through columns to find any null values and altering information in a way that helps me analyze it. I also like the pacing with the datahub assignments.,"The thing I like least about COGS 108 so far is that it stacks on top of my COGS 109 assignments and the only other coding-based class i've taken is COGS 18 so I can feel a bit overwhelmed with learning how to do things sometimes. But with the class itself, I actually enjoy it a lot!",The number we've had is about right.,I think they've been fine generally and would keep them as is.,1.5,2,1.5
