What have you enjoyed MOST about COGS 108 so far? Please explain.,What have you liked LEAST about COGS 108 so far? Please explain.,"Difficulty: Relative to other courses you've taken at UCSD, COGS 108 is...","Workload: Relative to other courses you've taken at UCSD, COGS 108 is...",Approximately how many hours did you spend completing A1 (Python & git)?,Approximately how many hours did you spend completing A2 (Pandas)?,Approximately how many hours did you spend completing A3 (Data Exploration)?
Guest Lectures,,about as difficult,about the same ,1,2,4
"Guest speakers, they were very interesting and I learned a lot",Nothing,somewhat easier,about the same ,1,2,3
,,somewhat easier,somewhat less ,3,3,4
,,somewhat easier,somewhat less ,0.5,1,1.5
The discussion is clear and TA is nice. ,Some grading for assignments requires regrade to get points back. ,way easier,way less ,0.5,0.5,0.5
Group collaboration,Not much programming direction,about as difficult,about the same ,3,4,8
project,guest lectures,somewhat easier,somewhat less ,2,2,2
Lectures are interesting and engaging. ,Programming assignments lack some clarity especially with multiple choices. ,about as difficult,about the same ,5,5,5
Learned a substantial amount of the conceptual ideas on data science. Good complimentary course with DSC80,"The class is too early, sometimes it's tiring to wake up.",way easier,way less ,1,1,1
The python is pretty nice and data science part is interesting.,The project proposal grading was honestly pretty annoying. It didn't seem very relevant and I don't think it was very useful.,somewhat easier,somewhat less ,1,1,1
,,somewhat easier,somewhat less ,1,2,3
Allowing us to see possible cases of data sciences in practice (guest lecture and case study in lecture),Not much.,about as difficult,about the same ,4,6,6
I have really enjoyed applying what I learned in COGS 18 in a data setting. The guest lectures are great too. ,"I have struggled with the group project- it’s a bit overwhelmingly open ended, but that’s probably because I’m so new to data science",somewhat more difficult,about the same ,4,4.5,5
Working in groups,Assignments,somewhat more difficult,somewhat less ,3,5,3
,,way easier,way less ,5,1.5,2.5
,,somewhat more difficult,about the same ,3,5,5
I learned a lot about python and data analysis ,Not enough extra credit. Want more chance to get A,about as difficult,about the same ,3,3,3
I like how you go step by step on how to do things as well as the discussion sections. Other classes expect me to figure out things on my own and I don't know how often because it is not intuitive.,It's difficult to know whether I'm doing the right thing for HW because there are so many different ways of doing the same thing. ,about as difficult,about the same ,3,5,5
The guest lectures,The PAs,somewhat easier,somewhat less ,2,5,5
,,somewhat easier,somewhat less ,1,2,3
class structure,8am,somewhat easier,somewhat less ,3,2,2
Learning python and working with data is really fun.,I would like to have more guidance on my project for this class.,somewhat easier,somewhat less ,2,3,3
The guest lectures have been very informative,The assignments are at times unclear,somewhat easier,somewhat less ,2,3,4
Assignments have been challenging yet rewarding. ,That fact that I didn’t get partial credit when I put something incorrect in a cell. ,about as difficult,about the same ,2.5,2.5,3.5
"I love the coding part. It is my first class to learn Python and Pandas, and I find it very interesting when dealing with data.",N/A,about as difficult,about the same ,3,5,7
I have enjoyed working on the labs and learning about how to use Pandas,Jupyter notebook can be frustrating to use at times,somewhat easier,about the same ,2,2,4
I've found the group project to be interesting,"I've found the assignments to be somewhat hard, I've been spending a really long time needing to look up what to do for every question.",somewhat more difficult,somewhat more ,1.5,4,5
Exploring Data because I've always wondered how to go about loading a dataset into Jupyter Hub and being able to change and work with the data given. ,"I'm not a big fan of the tests that Python does to check our homework, I would prefer if they were a bit more specific so I know that I am doing it right.",about as difficult,about the same ,4,6,12
I like that we get to choose what out final project is on and I like how the lectures are set up.,,about as difficult,about the same ,4,5,5
The class teaches hard data science skills and not just the concepts,There are a lot of concepts and the different coding methods don’t seem to stick very well/I end up needing to look syntax up a lot,way easier,somewhat less ,3,3,4
"I have actually really enjoyed discussion the most so far, which is a bit weird for me honestly? I do also enjoy lecture but I will admit, the fact that lecture is at 8am and my discussion is at 12pm probably makes a difference. What I like about discussion is the real world examples used to apply concepts learned in class. I'm also really grateful for assignment clarifications.","The group project. I don't feel like I can balance completing assignments and the group project well, and I'm not getting much support from my group.",about as difficult,somewhat more ,1,4,4
Attending lectures,The assignments need a lot of work and time.,about as difficult,somewhat more ,3,6,6
fair assignments yet very important concepts,don't like the idea of project haha,somewhat easier,somewhat less ,1.5,1.5,1.5
Studying about pandas. Because it's challenging.,The way we have to find out the syntaxes on our own for assignments.,somewhat easier,somewhat less ,2,3,3
I really like the structure of the Jupyter Notebooks,Too little time for the more detailed assignments (A3 onward),about as difficult,about the same ,2,2,4
I've enjoyed the guest lecturers,I dislike how the project instructions are unclear,about as difficult,somewhat less ,1,2,3
"Meeting the 1st guest lecture, I am a day trader as well and hearing from him really was fun. In addition, it sucked I didn’t get to get his free book.",Having the class time at 8am in the moring,somewhat easier,somewhat less ,2,3,3
Guest Lecture by Andy White ,"Did not like that the project proposal was graded. It would have been great if it would have been something on the lines of P/NP given that the proposal was due in the height of midterm season. Additionally, I did NOT like the fact that it was 10% of my final grade, especially when I know most of the clarity on the project will be achieved my week 08. ",about as difficult,somewhat less ,2,1,3
,,about as difficult,about the same ,5,7,7
"Learning more about Python and important packages. Also that it is project based, I liked that I'm actually able to apply the lecture material to homework and the final project.","Some of the instructions for the assignments are unclear, I often need to ask for clarification of the question in discussion because I am not sure of what is being asked.",somewhat easier,somewhat less ,2,3,4
Most of it,quizes,somewhat easier,about the same ,2,2,2
"-I love professor Ellis! 
-Though the assignments are challenging I do enjoy it.",I least like it when the assignments do not make sense,somewhat more difficult,somewhat more ,4,5,6
Exlporing different functions and components in pandas.,Lecture time. I attend classes from 8 AM to 8 PM on Tuesdays and Thursdays and am exhausted by my last class. ,somewhat more difficult,somewhat more ,1.5,3,7
The clicker,,somewhat easier,somewhat less ,0.5,0.5,0.7
learning Python for data analyze ,,way easier,about the same ,3,2,2
"I have enjoyed the assignments the most. I like the way they're structured, as later questions build on previous ones, making them feel like a mini project in a way. I also feel like I learn a lot during them as I'm doing them.",8 AM lectures :(,about as difficult,about the same ,1,2,4
"Using jupiter, a very intuitive IDE",Lecture time is too early,about as difficult,about the same ,2,2,2
power of data,Some of the hw question worth far morw than other questions which is unfair,somewhat more difficult,somewhat more ,2,3,3.5
"Getting loads of practice on Python -- being able to use it as it would be applied ""in the real world"" and understanding how it can be beneficial",Some assignment questions are hard to understand,about as difficult,somewhat less ,2,3,5
learn the panda and lean how to visualize the data,the quiz and the attendance. Quiz can't get any point of the partial right of a question have more than one correct answer,about as difficult,about the same ,3,6,8
I really just like the structure of the course and how we are graded throughout the course. The student's learning seems to be well guided and each assignment isn't worth a drastic amount of points. ,I wish the final project had a little more structure? This might actually be due to group projects being more difficult but I would've liked maybe a different final assessment. ,about as difficult,somewhat more ,3,4,6
the data part,coding,about as difficult,about the same ,2.5,2.5,3
"So far, I've really enjoyed talking about the ethics in data science and all the things that we have to consider when we do our projects. I think its something that is super easy to forget about but is still an important aspect to data collection and analysis.",I really dislike using GitHub. I find it difficult to use and find it really not transparent. I feel like I am more comfortable with having less domains to use as in this class there are so many different places where information is released. ,somewhat more difficult,somewhat more ,3,5,6
The well-organized lectures and assignments. ,The final project. ,somewhat easier,somewhat less ,4,5,6
,,somewhat easier,somewhat less ,5,6,10
relatively low workload,Lectures start at 8 !!!!!!,somewhat easier,somewhat less ,2,4,5
The lectures and applying the concepts of data science. ,Nothing in particular except maybe that the assignments are now due per week and have many problems to them. ,somewhat easier,about the same ,4,9,9
"The class has been fun to get an introduction to data science, and knowing what pandas (and python in general) can be used for. ","Class wise, I think its been pretty good so far. Having class at 8 am is pretty early for me, but so far, I've managed to attend all the classes.",about as difficult,about the same ,4,5,8
No midterms,,way easier,way less ,4,5,5
Learning how to use Python with regards to data analysis and visualization,"Learning/reviewing material taught in COGS 14A/14B. While not prerequisites for COGS 108, they are courses required by COGS majors.",somewhat easier,about the same ,2,2,3
I've enjoyed learning from a more ethical approach to data science rather than usual pure technical approach I've seen in my CS courses. ,Weekly Quizzes. I feel like some of the questions are random rather than focused on the material that was being covered. ,way easier,way less ,0.15,0.2,0.3
Getting together with my group and working on the project. ,Some of the assignment questions are very difficult to figure out. ,somewhat more difficult,somewhat more ,2,3,4
Working on the final project,Waking up,about as difficult,about the same ,1.5,1.5,3
Discussion and Prpject,8am classes,somewhat easier,about the same ,3,2,2
The quiz can summary the class really good,,about as difficult,about the same ,3,3,3
I like how we have examples for the project so we know what to expect.,,about as difficult,about the same ,5,8,7
I actually really like about the step-by-step weekly assignments which gives a hands-on practical approach on the materials we learned from the class and something even not have been touched during the lectures. The amounts of the homework are just fair enough.,"If we can get more instructions and information about the final project during discussion sessions/outside of class, such as a project lab session might help a lot on pushing the group project to be done with the right direction. Sometimes it may easily get lost since it's a first data science project for some of the students, and we cannot do it very efficiently by spending time exploring everything ourselves.",somewhat easier,somewhat less ,2,3,3
The assignments are very helpful., ,about as difficult,somewhat less ,2,2,2
I really like the emphasis on all the aspects of data science that isn't coding. It makes me feel like coding isn't the hardest part of data science as long as we create a good question and build a good process to move toward answering our question. ,I get points deducted on homework even when the answers make sense,somewhat easier,somewhat less ,1,2,2
The freedom with the project.,Meeting up with project group can be a struggle since the group has many people.,about as difficult,somewhat less ,2,4,8
"I enjoyed Augustin's guest lecture, largely because it was directly relevant to my post-graduation goals (trading).","I feel like the lectures could be more concise(in terms of number of words said and spacing between words, not in terms of time) (Hemingway's Iceberg Theory). 

To give a specific example from today's lecture(2/18/20), on the podcast from 9:35-10:12, the slide involves the linear regression from our last lecture. I feel like there's not much to say about our linear equation, and a simply structured sentence about how last time we fit our data to a line would suffice to cover this concept. ",somewhat easier,about the same ,1,1,2
Assignments are interesting and related to the lectures.,,about as difficult,about the same ,2,3,4
Thorough slides to accompany lecture,Quizzes taking place of attendance,somewhat more difficult,somewhat more ,5,5,10
I enjoyed the freedom given to us to choose our own research project and to explore different topics and methods of research. Being able to branch out based on what we've learned so far and interacting with different ways to program has been both educational and enjoyable.,,somewhat easier,somewhat less ,2,2,2
,,somewhat easier,about the same ,2,5,6
Hands on experience using datahub,Principles that needs to remember,about as difficult,about the same ,1,2,3
I enjoyed how the techniques in the assignments can be directly applied to our project - a real world problem. It's a collection of useful code scrips and a great tutorial for learning pandas / various datascience tool. ,"I don't like the ambiguity of the assignments. They covers a large portion of the grade, which requires a prefect score to get a good final grade and costly to even miss a single question. For example in A3 there's a question asking about ""By looking at the plot you just generated, approximately how many people in df do the data suggest took no steps?"" The figure shows about 1000 people in the bin near 0, however, by a closer look, the data is actually -1, which often indicates missing data. There's a contradiction between instruction and question.   ",somewhat more difficult,somewhat more ,1,2,2
Very well prepared lectures,8AM,somewhat easier,somewhat less ,0.25,0.25,0.5
Guest lectures! Because I learned so much stuff that you won't normally learn in class and hopefully we can have more of them on different application of data science.,Discussions because it is not exactly engaging..? We can have more content than going over jupyter notebook I guess.,somewhat easier,somewhat less ,1,1,2
coding,going lectures,somewhat more difficult,way more ,4,8,14
,,way more difficult,way more ,3,6,8
,,way easier,way less ,0.5,0.75,0.45
Putting basic python (COGS18) into practice from the viewpoint of a data scientist.,The vagueness of projects and how the course material doesn't really go hand in hand with projects and assignments.,somewhat more difficult,somewhat more ,2,5,10
the practice assignment,8:00 AM,way easier,somewhat less ,2,3,4
"The fact that even though I took some of these programming skills for granted, a refresher on some of its uses plus the guest lectures were remarkably enjoyable. Thank you for that!",The 8am time:( Honestly I really wish this course could occur at a different time because I do find the lecture material enjoyable after I go over it. ,about as difficult,about the same ,1,2,2
learning how code can winkle out bits of data,trying to work on coding assignments AND final project at the same time,about as difficult,somewhat more ,0.5,1,10
,,somewhat easier,about the same ,2,3,3
,,somewhat easier,about the same ,2,3,3
,,somewhat easier,somewhat less ,4,6,6
I really enjoyed the detailed guideline in each assignment and discussion helped a lot as well. ,Our project is still struggling about finalizing topic and finding data. ,about as difficult,about the same ,2,3,3.5
Learning how to think about and work with large data sets in a practical and easy to understand capacity with good examples provided in lecture and demos in the homework.,The fear that no one in my group will do anything towards the project. ,way easier,way less ,1,1,1
coding and machine learning ,,somewhat more difficult,somewhat more ,3,4,6
Assignments are interesting.,Attendance!!,somewhat easier,somewhat less ,1,1,1
"Working on the assignments, I feel like it really helps us understand the course material. ","Being stuck on an assignment question, but that is honestly part of the fun",somewhat more difficult,somewhat more ,2,3,3
The guest speakers ,The group project ,about as difficult,about the same ,6,5,6.5
Learning about data visualization ,Guest lecturers,somewhat more difficult,somewhat more ,2,4,8
I enjoy how you explain things in a way anyone from any background can understand,The class time -- but you can't help that. Also it's a bit different not to have Tutor Hours like my CSE classes ,about as difficult,about the same ,3,5,5
I think the assignments and the tutorials in the repo have been really great at giving a lot of detailed infromation on data science applications and tools to use,The early lecture times,somewhat easier,somewhat less ,2,2,2
The guest lectures were very interesting because it was nice to learn from people who have experience in certain fields,Probably waking up so early for the class but that's more of a personal choice. I think overall the topics are interesting and all the topics taught are helpful for our project which is great.,somewhat easier,somewhat less ,2,2,3
The first guest lecture. I thought his lecture about stocks and data science was very interesting.,Having to do wake up at 8am. Its to early of a class.,about as difficult,somewhat less ,2,2,2
having a balance between visualization and analysis as well as using the different packages,discussion section isn't that helpful ,about as difficult,about the same ,4,4,4
Learning more about python. I use a lot of python normally but don't really use any of the libraries related to math or visuals so it's a good skill to have.,N/A,somewhat easier,somewhat less ,1,1,1
"Everything, this class is very interested in analyzing data",The HW has hidden test cases and sometimes they don't pass,about as difficult,about the same ,5,8,10
"Yes. Last quarter, I took a marketing research course that requires many data analysis with programming. A lot of the data analysis portion is a review, but the programming part (python) taught me about the back scene of actual code.","Googling documentation of some python functions, there are so many versions of the python and because I am new to python, I have to look up syntax for most of the assignments.",somewhat more difficult,somewhat more ,4,5.5,4.5
Concepts are very interesting. Able to infer so much from data.,Sometimes assignments are somewhat trivial. But I'm biased since im a computer science major.,somewhat easier,about the same ,4,4,5
The class' organization and structure. The assignments and project are linked and the lectures do a good job of reminders and updates. ,Finding groups was a bit stressful. I would have liked an option to get auto-paired up in a team.,somewhat easier,way less ,5,4,3
"There's a couple things I never learned before that should have been taught in DS courses but weren't (Ex: Inference, Github)",Sometimes the questions in assignments are unclear.,somewhat easier,somewhat less ,2,3,3
How to work with data,,somewhat easier,about the same ,3,4,4
Working on a project about sports with my friends. Talking about what we were going to do and actually gathering the data has been really enjoyable so far.,"Waking up before 7am. It has been an adjustment, but I've been getting better at doing so.",somewhat easier,somewhat less ,0.5,1,1
I liked going into topics including charts and plotting (visualization) as this is something we need as future knowledge but other data science classes do not explain them and when to use each as much in depth. ,"Quiz questions are sometimes, not too often, not clear. Same with some questions on assignments as they can potentially be interpreted differently. ",somewhat easier,somewhat less ,2,2,3
The programming assignments are really fun. Playing around with data is really satisfying and I enjoy how well written and clear they are.,"Although I find the lectures to be interesting, they're still not directly related to the assignments sometimes, so I would've liked it if the lecture material was practiced more.",way easier,way less ,2,2,2
The assignments ,8am lectures ,way easier,way less ,1.5,1.5,3
I think the assignments are very helpful in understanding the concepts and they are not too long. ,I do not like the weekly quizzes. ,somewhat easier,somewhat less ,0.5,0.5,1
The guest lectures were very interesting,,somewhat easier,about the same ,1.5,1.5,2
I think the assignments have been really fair in teaching us what we know and using lectures as references. ,,somewhat easier,somewhat less ,1,2,2
"The project, very interesting and fun with the fact that we get to choose our own topics.","8am lectures, but can't really change anything about that. The fact that to regrade request an assignment, we have to submit a public post to everyone in the class, asking for specific points back, instead of a possible built in regrade button inside the assignments tab under jupyterhub.",way easier,somewhat less ,1,2,2
,"Seems to include a lot of important topics in data science, but only goes very briefly in every single one of them. Might be the purpose so that students are made aware of the basic concepts of such topics in data science and expected to learn deeper concepts in other concentrated classes. ",somewhat easier,about the same ,0.5,1,1
,,about as difficult,about the same ,2,1,3
Learning about real life applications and interesting topics of ethics and complexity of data science. ,"The coding aspect, because any little mistake can be time costly and misread easily haha. ",about as difficult,about the same ,8,12,14
I enjoyed the project so far because I am finally able to practice the skills I learned on real datasets ,I do not like how strictly the assignments were graded,about as difficult,somewhat less ,3,5,5
"The guest lecturers, they have been interesting and relevant to the course material.",Sometimes I feel like I'm getting questions wrong on the quiz not because I misunderstand the topic but rather because the wording in the quizzes was vague or unspecific. ,way easier,way less ,0.5,1,1
I've really enjoyed being able to interact with data from the real world and seeing how my wrangling and visualizations of the data made it so I could understand what the data could show.,Class being at 8am,somewhat easier,somewhat less ,2,2,4
it covers most topics in data science,the project,about as difficult,about the same ,2,2,2
"I think the workload is fair. For the person first-time use python, I think the 10 mins website helps me a lot with my homework.",8AM,about as difficult,about the same ,2,3,4
,,about as difficult,about the same ,2,3,3
I like that the class is very practical. The lectures and the assignments are centered around teaching useful skills which I appreciate,I wish the project was a little more guided. Our group has struggled a bit simply because of how open ended it is,somewhat easier,somewhat less ,0.5,1,2
I like the difficulty level of the assignments. ,I do not like to get up at 7 a.m. every morning. ,about as difficult,about the same ,1,2,2
Actually the homework is really interesting and helped my learning of course materials ,"The lecture may be not interactive enough for me, Need to try hard to focus ",about as difficult,about the same ,1.5,2,3.5
Assignments,8am lectures,somewhat more difficult,somewhat more ,5,7,7
Whenever I'm able to figure stuff out on my own and seeing that my code works when I'm tinkering with the data. It makes me feel smart. :),I hate that this class is at 8 am AND is a 1 mile walk away from my dorm. ,somewhat easier,somewhat more ,1.5,4,5
"Coding and helping other people code. The puzzle of coding is marvelous, and there's no greater feeling in the world than helping someone with a concept they don't understand, then seeing the moment where something clicks in their head and it's finally clear to them. That feeling is like crack.","I'm honestly wasn't a fan of the first guest lecturer. I know other people probably get plenty out of it, but finance is not a field I have any interest in at all.",somewhat more difficult,way more ,2,3,5
"Using the pandas libraries. I program in c and python, pandas has given me a new perspective on data science and now I understand how data is obtained and analyze. ",reading quizzes. I don't show up to 8am and have to do reading quizzes. I find that some questions are very lecture specific rather than data science questions. Very hard to get 10 personally. ,way easier,somewhat less ,4,5,6
The assignments have been the most fun because I learn how to use the tools,"Personally, I didn't like some of the guest lectures because I have no interest in startup culture, and mainly want to go into academia. However, they were interesting. ",somewhat easier,somewhat less ,2,2,4
HWs,75% attendance is difficult for me as 8am is too early,somewhat easier,about the same ,1,2,2
"learning how to clean data and create clear data visualization, since it's an important skill in making a tidy data",,somewhat easier,somewhat less ,1,1.5,3
Teacher keeps lectures very interesting ,That it is a 1:20h lecture,somewhat easier,somewhat less ,2,3,4
I enjoy the pace of the class,How early the class is ,about as difficult,somewhat more ,3,5,6
Easy assignment and responsible responses from both professors and TAa,Content is too easy and sometimes go far away from DSC reality.,way easier,way less ,0.5,0.9,0.9
assignments are good and ready to jump into the project,"just wish attendance wasn't ""mandatory"". feel like the assignments alone are really good at teaching.",about as difficult,somewhat less ,2,4,4
Quizzes are nice recap to previous learned topics,,somewhat easier,about the same ,8,8,6
I've enjoyed the lectures a lot because the concept are explained in a very interesting and engaging way. The examples are very concrete and allow me to grasp the concepts well,I've been a bit lost on some aspects of the group project related to the ways that we might possibly analyze/model our data. Going to office hours has helped clarify those concerns though,somewhat easier,about the same ,2,3,3
I enjoy the lectures. They are very engaging.,"As a cs major, it took a while to get used to the format of documentations of the tools we use in class such as pandas, or seaborn. I realize there's not much you can do about this, but I just wanted to say it because I found it to be the most frustrating thing in class. ",somewhat easier,somewhat less ,6,2,4
Assignments were well-designed. I did learn a lot when I was googling a bunch to be able to complete the assignment.,,somewhat easier,about the same ,1,2,4
The Final Project,Having it be at 8 am makes it difficult to go,somewhat easier,somewhat less ,1,1,2
"I have enjoyed the guest lectures so far, it was cool hearing the experiences of people in the field.",I've least liked how difficult the weekly quizzes are,somewhat easier,way less ,1,1,1
How to dig useful information from a large data set.,The homework grading system.,about as difficult,about the same ,3,4,4
"I like how I mostly know how to do all the assignments, so it has been easy to keep up with the class! ",I feel like this class is a repeat of a lot of my other classes so sometimes it is easy to lose interest during lecture.,somewhat easier,somewhat less ,1,1,1
