congress,year
1,1790
2,1792
3,1794
4,1796
5,1798
6,1800
7,1802
8,1804
9,1806
10,1808
11,1810
12,1812
13,1814
14,1816
15,1818
16,1820
17,1822
18,1824
19,1826
20,1828
21,1830
22,1832
23,1834
24,1836
25,1838
26,1840
27,1842
28,1844
29,1846
30,1848
31,1850
32,1852
33,1854
34,1856
35,1858
36,1860
37,1862
38,1864
39,1866
40,1868
41,1870
42,1872
43,1874
44,1876
45,1878
46,1880
47,1882
48,1884
49,1886
50,1888
51,1890
52,1892
53,1894
54,1896
55,1898
56,1900
57,1902
58,1904
59,1906
60,1908
61,1910
62,1912
63,1914
64,1916
65,1918
66,1920
67,1922
68,1924
69,1926
70,1928
71,1930
72,1932
73,1934
74,1936
75,1938
76,1940
77,1942
78,1944
79,1946
80,1948
81,1950
82,1952
83,1954
84,1956
85,1958
86,1960
87,1962
88,1964
89,1966
90,1968
91,1970
92,1972
93,1974
94,1976
95,1978
96,1980
97,1982
98,1984
99,1986
100,1988
101,1990
102,1992
103,1994
104,1996
105,1998
106,2000
107,2002
108,2004
109,2006
110,2008
111,2010
112,2012
113,2014
114,2016
115,2018
116,2020