height,dob,statistics,programming
65,4/8/1999,2,9
63,10/28/1997,1,3
66,5/29/2000,7,3
63,5/11/2000,8,1
67,2/1/1995,1,10
72,3/5/2001,8,6
71,9/30/1997,7,5
65,4/8/1999,2,9
68,7/30/2000,10,8
67,8/19/2000,6,4
64,1/5/1998,8,2
71,11/2/1998,6,10
72.4,5/25/2019,4,5
79,4/19/2000,5,5
74,10/8/2000,3,4
66,6/15/2019,8,8
68,5/13/1999,6,10
68.4,11/16/2000,6,6
72,1/7/2000,6,8
72,8/1/2000,6,4
72,12/17/1998,1,10
70,1/27/1998,4,7
185,8/19/1999,8,10
70,3/29/2000,2,8
69,7/30/2000,3,10
66,1/12/2000,5,2
74,6/10/2000,8,9
65,6/15/2000,6,1
70,4/25/1999,6,9
5.4,7/10/1999,7,6
63,6/1/2018,8,3
68,11/13/1998,3,2
66,10/1/2000,8,8
67,2/24/2000,5,3
74,2/3/1999,6,8
68,11/19/1998,8,8
74,3/1/1999,2,5
74,10/18/2000,5,8
80,,4,7
68,6/15/1999,6,4
68,6/15/1999,6,4
64,,8,2
63,2/6/2000,6,3
73.23,5/13/1999,6,8
69.685,8/5/2000,8,10
68,4/14/1999,6,6
70,8/8/2000,4,3
69,11/22/1982,7,7
67,3/16/1999,7,5
74,8/25/1999,2,10
68,6/16/2000,4,5
56,9/8/1999,6,10
63,11/9/2019,5,1
71,11/2/1998,6,10
69,5/2/2000,2,4
71,1/16/2000,2,8
73,2/20/2000,6,6
6,,7,1
72,4/15/1999,7,9
68.5,11/15/2000,6,10
65.7,2/10/2000,8,1
60,9/30/1997,9,8
61,10/14/2000,8,4
64,5/15/2000,2,1
67,3/6/2001,4,1
71.2,9/14/1998,8,7
68,6/21/2000,2,4
5.5,2/25/2000,6,4
65,2/3/2000,5,2
67,9/6/1999,5,10
63,3/5/2000,7,8
66,3/29/2000,5,2
68,8/23/2000,3,6
65.8,10/13/2019,7,1
74,4/13/1999,6,8
74,6/28/1999,6,10
77,9/3/1999,2,5
60,11/24/2000,10,10
67,,3,2
73.5,9/28/1992,8,8
69,10/29/1999,3,3
63,9/28/2019,3,7
68,11/17/2000,5,5
72,5/26/1999,6,10
71,6/19/2000,2,6
60,10/11/1998,6,8
70,11/30/1999,6,6
71,3/2/2000,6,8
63,6/29/2000,1,1
71,11/13/2000,10,7
68,,2,6
64,10/11/2000,4,7
66,11/30/1999,5,3
68,1/27/2000,3,6
75,12/25/1999,3,2
65,5/18/1998,3,5
67,3/11/2000,6,3
69,7/18/2000,6,2
70,11/11/2000,2,5
65,11/16/2000,1,1
68.5,6/7/1995,9,10
64,7/9/1997,6,3
70,8/30/2000,8,8
63,1/16/1999,5,8
70,7/10/1999,6,10
66.9,9/12/2000,5,2
63.5,8/18/1999,3,1
73,10/14/1997,5,8
72,3/10/2000,7,6
72,6/25/2000,5,3
76,4/24/1997,8,6
6,3/15/2000,3,4
64,11/5/2000,5,2
64,5/17/2000,7,8
75,10/7/1996,2,10
76,2/17/1997,4,1
64,4/19/2000,3,1
68,5/28/2000,9,5
66,3/8/2000,4,6
68,9/4/2000,8,9
68.5039,5/26/2000,6,6
64.5,6/26/2000,1,10
72,3/8/2019,6,4
69,,8,8
666,,5,5
74,10/22/2000,7,8
71,10/8/2018,8,9
69,10/16/1999,8,6
69,8/4/2000,5,7
69,2/25/1999,7,7
68,,6,7
70,2/25/1997,9,9
64,,6,5
64,5/31/2000,9,7
66,3/12/1998,6,7
70,4/24/2000,7,7
80,12/7/1999,7,6
65,7/19/2000,5,5
67,9/21/2001,8,9
70,7/18/1999,8,8
67,4/17/1999,7,8
63.5,10/12/1994,6,6
69,5/22/2000,6,5
71,1/4/1999,4,5
59,6/2/1999,3,1
65,4/2/2000,5,3
5.1,12/6/1999,3,10
68,11/19/2000,7,2
61,9/14/1999,5,1
67,4/17/1999,7,8
64,11/3/2000,3,5
65,1/26/2019,9,7
63,2/7/2000,8,6
66.93,12/12/1997,5,5
64,4/13/2000,3,1
65,,3,3
67,3/12/1999,5,3
5.9,3/31/2000,8,3
69,2/22/2000,5,1
69,8/31/2000,2,1
70,9/24/2000,1,10
64,6/20/2000,7,1
5.8,12/1/1997,8,6
71,8/11/2019,9,10
72,6/20/2000,5,10
6,7/16/1999,5,6
70,12/21/1999,4,7
69,3/12/2000,5,7
70,10/28/2000,6,4
66,11/4/1999,6,1
70,7/23/1998,7,10
66,3/4/1999,3,2
65,4/14/1999,5,5
69,10/16/2000,1,5
69,8/20/1997,8,10
64,,4,9
63,9/16/2000,1,7
74,6/29/2000,8,9
68,6/11/1999,7,5
5.7,8/5/1997,6,1
66,5/18/2000,6,8
5.5,4/10/2000,2,1
70,12/26/1997,4,3
65,5/16/2000,8,1
185,2/2/2000,8,5
64,1/11/2000,5,3
74,,6,10
64,5/10/2000,8,4
6,4/6/2000,8,7
65,2/2/2000,8,7
165,9/26/1995,6,6
67,3/14/1999,5,5
59,2/9/1999,3,7
71,11/5/1998,8,4
70,7/20/1999,3,10
74,12/16/1998,7,10
5.6,11/4/2000,6,6
5.3,5/11/1998,7,8
72,3/18/2000,6,8
64,1/10/2001,6,3
63,8/9/2000,5,7
65,6/4/1999,9,4
63,5/11/2000,7,8
64,1/25/1999,5,10
65,7/4/1999,5,5
66,4/21/2000,2,1
74,10/28/1998,8,10
67,2/18/1977,9,9
70.9,4/19/1997,7,5
67,6/22/1998,4,4
66,12/31/1994,7,8
68,7/15/2000,4,5
71,5/29/2019,6,9
71,9/1/2000,8,8
65,3/4/1997,7,9
70.5,1/3/1997,3,5
71.5,5/11/2000,10,8
66,5/11/2000,6,4
70,10/4/1999,5,4
66,5/18/2000,6,8
71,8/13/2000,8,10
68,12/27/1999,10,7
74,8/22/1996,4,4
64,5/5/1999,5,4
66.54,6/17/1998,8,10
73,7/24/2000,2,1
65,9/6/2000,3,4
71,4/17/1999,4,2
68,5/5/1999,5,8
66,12/5/1997,6,8
74,9/28/1992,7,8
70,4/16/1999,8,10
66,10/3/2000,5,5
71,6/23/2019,6,5
68,10/2/1995,7,6
5.7,4/18/1998,1,1
5.3,12/16/2019,3,8
74,5/23/2000,6,9
66,3/29/2000,4,2
61,11/6/2000,5,4
6,10/2/1996,8,1
70,9/9/1998,5,3
63,4/9/2000,6,2
70,8/28/1999,10,9
69,6/16/1997,4,5
71,10/26/1998,3,1
71,6/9/1986,2,7
6,1/17/1997,7,7
71,10/2/1997,6,8
66,10/9/1998,5,1
68,5/23/1999,6,8
68,6/8/2000,6,5
71,10/21/1998,4,7
60,10/26/2000,3,1
75,5/24/1998,4,3
65,4/27/2000,9,10
71,5/16/1997,5,5
73,7/23/1999,10,4
67,10/30/1996,7,9
65,5/22/2000,5,8
69,1/16/1998,8,7
70,10/4/1997,4,10
75,4/12/2000,6,4
75,3/1/2000,5,3
5.7,2/22/1999,5,7
63,11/9/2000,6,1
72,,7,8
71,2/27/2000,5,5
70.07,6/9/1999,5,6
63.4,1/17/2000,8,6
67.7,7/29/1999,7,7
5,6/30/1999,7,7
60.75,10/1/1999,5,4
68,,6,8
165,5/20/1998,5,5